,Sex,Marital status,Age,Education,Income,Occupation,Settlement size
0,0,0,2.6536144732500277,2,0.09752361231491966,1,2
1,1,1,-1.187132086727176,1,0.7826543771283752,1,2
2,0,0,1.1173158492591462,1,-0.8332022398969002,0,0
3,0,0,0.7759161550389503,1,1.3283862417416905,1,1
4,0,0,1.458715543479342,1,0.7369317478403608,1,1
5,0,0,-0.07758308051153942,1,0.6271396937004273,0,0
6,0,0,1.458715543479342,1,0.932840878153644,1,1
7,0,0,-0.07758308051153942,1,1.907294572152968,2,1
8,0,1,2.1415149319197337,2,0.8041245899628159,0,0
9,0,1,-0.6750325453968822,1,1.4092538771242233,2,0
10,1,1,-0.9310823160620291,1,-0.32770733894519577,1,0
11,1,1,-1.0164322396170782,1,0.17432293108456953,1,0
12,1,1,-1.187132086727176,1,-0.3219854484832055,1,2
13,0,0,2.056165008364685,2,-0.8288976984484304,0,0
14,1,1,-0.6750325453968822,1,-0.4739042649694438,1,1
15,1,1,-0.33363285117668634,1,-0.8537275533889939,0,0
16,0,0,1.458715543479342,1,0.1206211517945136,1,0
17,0,0,-0.9310823160620291,0,0.957487002666529,1,2
18,1,1,0.6905662314839013,2,3.700792265539484,2,2
19,0,0,-0.4189827747317353,0,0.6221264777451972,1,1
20,0,0,1.0319659257040972,1,-0.05715116058649756,1,1
21,0,0,0.6905662314839013,1,0.697035997830153,1,1
22,0,0,1.0319659257040972,1,-0.8176114007481743,0,0
23,0,0,0.6905662314839013,1,0.3665049584363728,1,2
24,0,1,-0.8457323925069802,1,-0.4537464123327073,1,2
25,0,0,0.007766843043509548,1,-1.287305115506508,0,0
26,0,1,0.26381661370865644,1,-1.3829761739191444,0,0
27,1,1,0.5198663843738034,2,1.1042351199738127,1,1
28,0,0,-0.1629330040665884,1,-0.043240142490833015,1,1
29,0,0,2.3122147790298317,2,1.4416954212114712,1,0
30,0,1,0.007766843043509548,1,1.0155458178129628,1,1
31,0,0,-0.7603824689519312,0,-0.021612446432667774,1,1
32,0,0,-0.5043326982867843,0,1.0968859028666693,1,2
33,0,0,1.800115237699538,2,-0.8753290022432051,0,0
34,1,1,-0.24828292762163737,1,0.9085359672921622,2,1
35,0,0,-0.9310823160620291,0,-0.4317512554191849,0,0
36,0,0,-0.4189827747317353,0,0.5887400343156024,1,2
37,0,0,0.09311676659855851,1,0.17642270740089627,1,1
38,0,0,0.09311676659855851,1,-0.044053805813409626,1,1
39,0,0,-1.0164322396170782,0,-0.7457465563218921,1,1
40,0,0,-0.5043326982867843,0,1.1122142699758544,2,1
41,0,1,-0.8457323925069802,1,0.26159488423189897,1,0
42,0,0,0.6905662314839013,1,0.33343348145422697,0,0
43,0,1,-1.0164322396170782,1,0.8963310174535132,1,1
44,1,1,1.885465161254587,2,0.5611804701638141,0,1
45,1,1,-0.07758308051153942,1,0.45755650895309036,2,1
46,0,0,0.26381661370865644,1,0.5046702400506712,1,0
47,1,1,-1.101782163172127,1,-1.4575969747606052,0,0
48,0,0,0.26381661370865644,1,0.25054481136722956,0,0
49,1,1,-0.6750325453968822,1,0.049255004243359116,1,0
50,0,0,-0.5896826218418333,0,-0.9560129071980594,0,0
51,0,0,-0.5043326982867843,0,1.5549258590693897,2,2
52,0,0,-0.9310823160620291,0,-0.7584502030356689,1,2
53,0,0,-0.4189827747317353,0,-0.09964538378815961,1,0
54,0,0,1.800115237699538,2,0.39044240844249745,1,1
55,0,0,-0.8457323925069802,0,-1.6456056966837092,0,0
56,0,0,1.373365619924293,1,2.1423120363578363,2,2
57,1,1,-0.4189827747317353,1,1.6457674319544746,1,1
58,1,1,-1.101782163172127,1,0.8218676998357768,2,1
59,1,1,-1.101782163172127,1,-0.14998752097209278,0,0
60,0,1,-0.7603824689519312,1,-0.367445605731679,1,2
61,0,0,1.2026657728141952,1,0.07051523944616718,1,1
62,0,0,2.1415149319197337,2,1.1930819053583872,2,1
63,0,0,-0.9310823160620291,0,2.793505166458661,1,2
64,1,1,-0.8457323925069802,1,-0.06778127818790158,1,1
65,0,0,1.0319659257040972,1,0.7128893090184198,1,1
66,1,1,-0.5896826218418333,1,-0.25946460866457727,1,0
67,0,1,-1.187132086727176,1,0.4941188640611294,1,0
68,0,0,0.09311676659855851,1,-0.36684192004073507,1,2
69,1,1,-0.9310823160620291,1,-0.2870241728163655,1,2
70,1,1,-0.5043326982867843,1,1.2637393784027815,1,1
71,0,0,0.8612660785939993,1,-1.2402176316128812,0,0
72,0,0,1.2880156963692442,1,0.5486605538777161,2,2
73,1,1,0.4345164608187544,2,0.39382829775257433,0,0
74,0,0,0.34916653726370545,1,0.5232007660422545,2,2
75,0,0,2.5682645496949785,2,0.9539436301327275,2,2
76,0,0,-0.1629330040665884,1,0.11109341675918111,1,1
77,0,0,1.2880156963692442,1,0.9063574493639732,1,2
78,0,0,0.26381661370865644,1,0.8069067935819488,0,0
79,0,1,-1.187132086727176,1,0.14293127515548504,1,1
80,1,1,0.6905662314839013,2,1.0050469362313292,1,2
81,0,0,0.9466160021490482,1,0.39852654726035536,1,1
82,1,1,-1.0164322396170782,1,-0.9491623869660435,0,0
83,1,1,1.885465161254587,2,-0.5444829964019758,0,0
84,0,0,1.373365619924293,1,-0.7151948109193383,0,0
85,1,1,-0.5896826218418333,1,0.33671438194848746,2,1
86,1,1,-0.7603824689519312,1,-0.28584304863843174,1,2
87,0,0,0.9466160021490482,1,3.152645658162393,1,1
88,0,0,-0.5043326982867843,0,0.736695523004774,2,2
89,0,0,-0.6750325453968822,0,-0.7344340114176819,1,2
90,0,0,1.714765314144489,1,-0.27164331129927227,1,1
91,0,0,1.544065467034391,1,-0.11418633477872216,1,1
92,1,1,-0.24828292762163737,1,-1.3093265196239845,0,0
93,0,0,-1.357831933837274,0,0.20272240576288847,1,1
94,0,0,1.544065467034391,1,1.162110204692568,1,2
95,0,0,1.885465161254587,2,3.868459404398173,1,1
96,1,1,2.1415149319197337,2,0.3704945334373936,1,1
97,0,0,-0.1629330040665884,1,0.36325030514606643,1,2
98,0,0,0.007766843043509548,1,-0.021035007945677926,1,1
99,0,0,0.007766843043509548,1,1.9556944162442988,2,2
100,0,1,0.4345164608187544,1,-0.7239613770400024,0,0
101,0,0,-1.0164322396170782,0,-0.27581661672797164,1,0
102,1,1,-1.0164322396170782,1,-0.676348949067294,1,1
103,0,0,-0.07758308051153942,1,-0.14728405896482213,1,1
104,0,1,-0.8457323925069802,1,-0.35902025326241804,1,1
105,0,0,0.26381661370865644,1,3.2483954581868915,2,2
106,0,0,0.26381661370865644,1,1.6313577169836824,2,2
107,0,0,-0.33363285117668634,0,0.8378522470438139,1,2
108,1,1,-0.5043326982867843,1,1.1599316867643792,1,0
109,0,1,-0.07758308051153942,1,0.5135417949871516,1,0
110,0,1,-0.4189827747317353,1,0.08526616806836242,1,1
111,1,1,-1.101782163172127,1,-0.360883804743158,1,1
112,0,0,-0.6750325453968822,0,0.012535165911595553,0,2
113,1,1,-0.9310823160620291,1,1.0890117416804441,1,0
114,0,1,-0.07758308051153942,1,0.3453497120493811,1,1
115,0,0,0.9466160021490482,1,0.2857685590736103,1,1
